keyword,study_group,date_added,source
Bean,Australian election,2019-01-31,Australian Electoral Commission
Canberra,Australian election,2019-01-31,Australian Electoral Commission
Fenner,Australian election,2019-01-31,Australian Electoral Commission
Banks,Australian election,2019-01-31,Australian Electoral Commission
Barton,Australian election,2019-01-31,Australian Electoral Commission
Bennelong,Australian election,2019-01-31,Australian Electoral Commission
Berowra,Australian election,2019-01-31,Australian Electoral Commission
Blaxland,Australian election,2019-01-31,Australian Electoral Commission
Bradfield,Australian election,2019-01-31,Australian Electoral Commission
Calare,Australian election,2019-01-31,Australian Electoral Commission
Chifley,Australian election,2019-01-31,Australian Electoral Commission
Cook,Australian election,2019-01-31,Australian Electoral Commission
Cowper,Australian election,2019-01-31,Australian Electoral Commission
Cunningham,Australian election,2019-01-31,Australian Electoral Commission
Dobell,Australian election,2019-01-31,Australian Electoral Commission
Eden-Monaro,Australian election,2019-01-31,Australian Electoral Commission
Farrer,Australian election,2019-01-31,Australian Electoral Commission
Fowler,Australian election,2019-01-31,Australian Electoral Commission
Gilmore,Australian election,2019-01-31,Australian Electoral Commission
Grayndler,Australian election,2019-01-31,Australian Electoral Commission
Greenway,Australian election,2019-01-31,Australian Electoral Commission
Hughes,Australian election,2019-01-31,Australian Electoral Commission
Hume,Australian election,2019-01-31,Australian Electoral Commission
Hunter,Australian election,2019-01-31,Australian Electoral Commission
Kingsford Smith,Australian election,2019-01-31,Australian Electoral Commission
Lindsay,Australian election,2019-01-31,Australian Electoral Commission
Lyne,Australian election,2019-01-31,Australian Electoral Commission
Macarthur,Australian election,2019-01-31,Australian Electoral Commission
Mackellar,Australian election,2019-01-31,Australian Electoral Commission
Macquarie,Australian election,2019-01-31,Australian Electoral Commission
McMahon,Australian election,2019-01-31,Australian Electoral Commission
Mitchell,Australian election,2019-01-31,Australian Electoral Commission
Newcastle,Australian election,2019-01-31,Australian Electoral Commission
New England,Australian election,2019-01-31,Australian Electoral Commission
North Sydney,Australian election,2019-01-31,Australian Electoral Commission
Page,Australian election,2019-01-31,Australian Electoral Commission
Parkes,Australian election,2019-01-31,Australian Electoral Commission
Parramatta,Australian election,2019-01-31,Australian Electoral Commission
Paterson,Australian election,2019-01-31,Australian Electoral Commission
Reid,Australian election,2019-01-31,Australian Electoral Commission
Richmond,Australian election,2019-01-31,Australian Electoral Commission
Riverina,Australian election,2019-01-31,Australian Electoral Commission
Robertson,Australian election,2019-01-31,Australian Electoral Commission
Shortland,Australian election,2019-01-31,Australian Electoral Commission
Sydney,Australian election,2019-01-31,Australian Electoral Commission
Warringah,Australian election,2019-01-31,Australian Electoral Commission
Watson,Australian election,2019-01-31,Australian Electoral Commission
Wentworth,Australian election,2019-01-31,Australian Electoral Commission
Werriwa,Australian election,2019-01-31,Australian Electoral Commission
Whitlam,Australian election,2019-01-31,Australian Electoral Commission
Lingiari,Australian election,2019-01-31,Australian Electoral Commission
Solomon,Australian election,2019-01-31,Australian Electoral Commission
Blair,Australian election,2019-01-31,Australian Electoral Commission
Bonner,Australian election,2019-01-31,Australian Electoral Commission
Bowman,Australian election,2019-01-31,Australian Electoral Commission
Brisbane,Australian election,2019-01-31,Australian Electoral Commission
Capricornia,Australian election,2019-01-31,Australian Electoral Commission
Dawson,Australian election,2019-01-31,Australian Electoral Commission
Dickson,Australian election,2019-01-31,Australian Electoral Commission
Fadden,Australian election,2019-01-31,Australian Electoral Commission
Fairfax,Australian election,2019-01-31,Australian Electoral Commission
Fisher,Australian election,2019-01-31,Australian Electoral Commission
Flynn,Australian election,2019-01-31,Australian Electoral Commission
Forde,Australian election,2019-01-31,Australian Electoral Commission
Griffith,Australian election,2019-01-31,Australian Electoral Commission
Groom,Australian election,2019-01-31,Australian Electoral Commission
Herbert,Australian election,2019-01-31,Australian Electoral Commission
Hinkler,Australian election,2019-01-31,Australian Electoral Commission
Kennedy,Australian election,2019-01-31,Australian Electoral Commission
Leichhardt,Australian election,2019-01-31,Australian Electoral Commission
Lilley,Australian election,2019-01-31,Australian Electoral Commission
Longman,Australian election,2019-01-31,Australian Electoral Commission
Maranoa,Australian election,2019-01-31,Australian Electoral Commission
McPherson,Australian election,2019-01-31,Australian Electoral Commission
Moncrieff,Australian election,2019-01-31,Australian Electoral Commission
Moreton,Australian election,2019-01-31,Australian Electoral Commission
Oxley,Australian election,2019-01-31,Australian Electoral Commission
Petrie,Australian election,2019-01-31,Australian Electoral Commission
Rankin,Australian election,2019-01-31,Australian Electoral Commission
Ryan,Australian election,2019-01-31,Australian Electoral Commission
Wide Bay,Australian election,2019-01-31,Australian Electoral Commission
Wright,Australian election,2019-01-31,Australian Electoral Commission
Adelaide,Australian election,2019-01-31,Australian Electoral Commission
Barker,Australian election,2019-01-31,Australian Electoral Commission
Boothby,Australian election,2019-01-31,Australian Electoral Commission
Grey,Australian election,2019-01-31,Australian Electoral Commission
Hindmarsh,Australian election,2019-01-31,Australian Electoral Commission
Kingston,Australian election,2019-01-31,Australian Electoral Commission
Makin,Australian election,2019-01-31,Australian Electoral Commission
Mayo,Australian election,2019-01-31,Australian Electoral Commission
Spence,Australian election,2019-01-31,Australian Electoral Commission
Sturt,Australian election,2019-01-31,Australian Electoral Commission
Bass,Australian election,2019-01-31,Australian Electoral Commission
Braddon,Australian election,2019-01-31,Australian Electoral Commission
Clark,Australian election,2019-01-31,Australian Electoral Commission
Franklin,Australian election,2019-01-31,Australian Electoral Commission
Lyons,Australian election,2019-01-31,Australian Electoral Commission
Aston,Australian election,2019-01-31,Australian Electoral Commission
Ballarat,Australian election,2019-01-31,Australian Electoral Commission
Bendigo,Australian election,2019-01-31,Australian Electoral Commission
Bruce,Australian election,2019-01-31,Australian Electoral Commission
Calwell,Australian election,2019-01-31,Australian Electoral Commission
Casey,Australian election,2019-01-31,Australian Electoral Commission
Chisholm,Australian election,2019-01-31,Australian Electoral Commission
Cooper,Australian election,2019-01-31,Australian Electoral Commission
Corangamite,Australian election,2019-01-31,Australian Electoral Commission
Corio,Australian election,2019-01-31,Australian Electoral Commission
Deakin,Australian election,2019-01-31,Australian Electoral Commission
Dunkley,Australian election,2019-01-31,Australian Electoral Commission
Flinders,Australian election,2019-01-31,Australian Electoral Commission
Fraser,Australian election,2019-01-31,Australian Electoral Commission
Gellibrand,Australian election,2019-01-31,Australian Electoral Commission
Gippsland,Australian election,2019-01-31,Australian Electoral Commission
Goldstein,Australian election,2019-01-31,Australian Electoral Commission
Gorton,Australian election,2019-01-31,Australian Electoral Commission
Higgins,Australian election,2019-01-31,Australian Electoral Commission
Holt,Australian election,2019-01-31,Australian Electoral Commission
Hotham,Australian election,2019-01-31,Australian Electoral Commission
Indi,Australian election,2019-01-31,Australian Electoral Commission
Isaacs,Australian election,2019-01-31,Australian Electoral Commission
Jagajaga,Australian election,2019-01-31,Australian Electoral Commission
Kooyong,Australian election,2019-01-31,Australian Electoral Commission
Lalor,Australian election,2019-01-31,Australian Electoral Commission
La Trobe,Australian election,2019-01-31,Australian Electoral Commission
Macnamara,Australian election,2019-01-31,Australian Electoral Commission
Mallee,Australian election,2019-01-31,Australian Electoral Commission
Maribyrnong,Australian election,2019-01-31,Australian Electoral Commission
McEwen,Australian election,2019-01-31,Australian Electoral Commission
Melbourne,Australian election,2019-01-31,Australian Electoral Commission
Menzies,Australian election,2019-01-31,Australian Electoral Commission
Monash,Australian election,2019-01-31,Australian Electoral Commission
Nicholls,Australian election,2019-01-31,Australian Electoral Commission
Scullin,Australian election,2019-01-31,Australian Electoral Commission
Wannon,Australian election,2019-01-31,Australian Electoral Commission
Wills,Australian election,2019-01-31,Australian Electoral Commission
Brand,Australian election,2019-01-31,Australian Electoral Commission
Burt,Australian election,2019-01-31,Australian Electoral Commission
Canning,Australian election,2019-01-31,Australian Electoral Commission
Cowan,Australian election,2019-01-31,Australian Electoral Commission
Curtin,Australian election,2019-01-31,Australian Electoral Commission
Durack,Australian election,2019-01-31,Australian Electoral Commission
Forrest,Australian election,2019-01-31,Australian Electoral Commission
Fremantle,Australian election,2019-01-31,Australian Electoral Commission
Hasluck,Australian election,2019-01-31,Australian Electoral Commission
Moore,Australian election,2019-01-31,Australian Electoral Commission
O'Connor,Australian election,2019-01-31,Australian Electoral Commission
Pearce,Australian election,2019-01-31,Australian Electoral Commission
Perth,Australian election,2019-01-31,Australian Electoral Commission
Stirling,Australian election,2019-01-31,Australian Electoral Commission
Swan,Australian election,2019-01-31,Australian Electoral Commission
Tangney,Australian election,2019-01-31,Australian Electoral Commission
David Smith,Australian election,2019-01-29,Politicians – Wikipedia
Alicia Payne,Australian election,2019-01-30,Politicians – Wikipedia
Andrew Leigh,Australian election,2019-01-31,Politicians – Wikipedia
Ed Cocks,Australian election,2019-02-01,Politicians – Wikipedia
Mina Zaki,Australian election,2019-02-02,Politicians – Wikipedia
Leanne Castley,Australian election,2019-02-03,Politicians – Wikipedia
Johnathan Davis,Australian election,2019-02-04,Politicians – Wikipedia
Tim Hollo,Australian election,2019-02-05,Politicians – Wikipedia
Andrew Braddock,Australian election,2019-02-06,Politicians – Wikipedia
Therese Faulkner,Australian election,2019-02-07,Politicians – Wikipedia
Max Black,Australian election,2019-02-08,Politicians – Wikipedia
Travis Ecclestone,Australian election,2019-02-09,Politicians – Wikipedia
Chris Gambian,Australian election,2019-02-10,Politicians – Wikipedia
Linda Burney,Australian election,2019-02-11,Politicians – Wikipedia
Brian Owler,Australian election,2019-02-12,Politicians – Wikipedia
Jason Clare,Australian election,2019-02-13,Politicians – Wikipedia
Chris Haviland,Australian election,2019-02-14,Politicians – Wikipedia
Jess Jennings,Australian election,2019-02-15,Politicians – Wikipedia
Ed Husic,Australian election,2019-02-16,Politicians – Wikipedia
Simon O'Brien,Australian election,2019-02-17,Politicians – Wikipedia
Andrew Woodward,Australian election,2019-02-18,Politicians – Wikipedia
Sharon Bird,Australian election,2019-02-19,Politicians – Wikipedia
Emma McBride,Australian election,2019-02-20,Politicians – Wikipedia
Mike Kelly,Australian election,2019-02-21,Politicians – Wikipedia
Kieran Drabsch,Australian election,2019-02-22,Politicians – Wikipedia
Chris Hayes,Australian election,2019-02-23,Politicians – Wikipedia
Fiona Phillips,Australian election,2019-02-24,Politicians – Wikipedia
Anthony Albanese,Australian election,2019-02-25,Politicians – Wikipedia
Michelle Rowland,Australian election,2019-02-26,Politicians – Wikipedia
Diedree Steinwall,Australian election,2019-02-27,Politicians – Wikipedia
Aoife Champion,Australian election,2019-02-28,Politicians – Wikipedia
Joel Fitzgibbon,Australian election,2019-03-01,Politicians – Wikipedia
Matt Thistlethwaite,Australian election,2019-03-02,Politicians – Wikipedia
Diane Beamer,Australian election,2019-03-03,Politicians – Wikipedia
Phil Costa,Australian election,2019-03-04,Politicians – Wikipedia
Mike Freelander,Australian election,2019-03-05,Politicians – Wikipedia
Declan Steele,Australian election,2019-03-06,Politicians – Wikipedia
Susan Templeman,Australian election,2019-03-07,Politicians – Wikipedia
Meryl Swanson,Australian election,2019-03-08,Politicians – Wikipedia
Sam Crosby,Australian election,2019-03-09,Politicians – Wikipedia
Justine Elliot,Australian election,2019-03-10,Politicians – Wikipedia
Mark Jeffreson,Australian election,2019-03-11,Politicians – Wikipedia
Anne Charlton,Australian election,2019-03-12,Politicians – Wikipedia
Pat Conroy,Australian election,2019-03-13,Politicians – Wikipedia
Tanya Plibersek,Australian election,2019-03-14,Politicians – Wikipedia
Dean Harris,Australian election,2019-03-15,Politicians – Wikipedia
Tony Burke,Australian election,2019-03-16,Politicians – Wikipedia
Tim Murray,Australian election,2019-03-17,Politicians – Wikipedia
Anne Stanley,Australian election,2019-03-18,Politicians – Wikipedia
Stephen Jones,Australian election,2019-03-19,Politicians – Wikipedia
David Coleman,Australian election,2019-03-20,Politicians – Wikipedia
John Alexander,Australian election,2019-03-21,Politicians – Wikipedia
Julian Leeser,Australian election,2019-03-22,Politicians – Wikipedia
Paul Fletcher,Australian election,2019-03-23,Politicians – Wikipedia
Andrew Gee,Australian election,2019-03-24,Politicians – Wikipedia
Scott Morrison,Australian election,2019-03-25,Politicians – Wikipedia
Patrick Conaghan,Australian election,2019-03-26,Politicians – Wikipedia
Fiona Kotvojs,Australian election,2019-03-27,Politicians – Wikipedia
Sussan Ley,Australian election,2019-03-28,Politicians – Wikipedia
Warren Mundine,Australian election,2019-03-29,Politicians – Wikipedia
Craig Kelly,Australian election,2019-03-30,Politicians – Wikipedia
Angus Taylor,Australian election,2019-03-31,Politicians – Wikipedia
Melissa McMahon,Australian election,2019-04-01,Politicians – Wikipedia
David Gillespie,Australian election,2019-04-02,Politicians – Wikipedia
Jason Falinski,Australian election,2019-04-03,Politicians – Wikipedia
Sarah Richards,Australian election,2019-04-04,Politicians – Wikipedia
Matthew Fraser,Australian election,2019-04-05,Politicians – Wikipedia
Michael McCormack,Australian election,2019-04-06,Politicians – Wikipedia
Lucy Wicks,Australian election,2019-04-07,Politicians – Wikipedia
Tony Abbott,Australian election,2019-04-08,Politicians – Wikipedia
Dave Sharma,Australian election,2019-04-09,Politicians – Wikipedia
Gianluca Dragone,Australian election,2019-04-10,Politicians – Wikipedia
Edwina Cliffton,Australian election,2019-04-11,Politicians – Wikipedia
Monica Tan,Australian election,2019-04-12,Politicians – Wikipedia
Tony Adams,Australian election,2019-04-13,Politicians – Wikipedia
Antony Lewis,Australian election,2019-04-14,Politicians – Wikipedia
Jonathan Doig,Australian election,2019-04-15,Politicians – Wikipedia
Sally Townley,Australian election,2019-04-16,Politicians – Wikipedia
Rowan Huxtable,Australian election,2019-04-17,Politicians – Wikipedia
Adam Hart,Australian election,2019-04-18,Politicians – Wikipedia
Patrick McGinlay,Australian election,2019-04-19,Politicians – Wikipedia
Dean Moss,Australian election,2019-04-20,Politicians – Wikipedia
Carmel McCallum,Australian election,2019-04-21,Politicians – Wikipedia
Damien Atkins,Australian election,2019-04-22,Politicians – Wikipedia
Mitch Shakespeare,Australian election,2019-04-23,Politicians – Wikipedia
James Cruz,Australian election,2019-04-24,Politicians – Wikipedia
Michael Bayles,Australian election,2019-04-25,Politicians – Wikipedia
Cath Connor,Australian election,2019-04-26,Politicians – Wikipedia
Matthew Thompson,Australian election,2019-04-27,Politicians – Wikipedia
Kristyn Glanville,Australian election,2019-04-28,Politicians – Wikipedia
Dominic Wy Kanak,Australian election,2019-04-29,Politicians – Wikipedia
Signe Westerberg,Australian election,2019-04-30,Politicians – Wikipedia
Jamie Dixon,Australian election,2019-05-01,Politicians – Wikipedia
Rob Oakeshott,Australian election,2019-05-02,Politicians – Wikipedia
Dani Ridai,Australian election,2019-05-03,Politicians – Wikipedia
Andrew Thaler,Australian election,2019-05-04,Politicians – Wikipedia
Grant Schultz,Australian election,2019-05-05,Politicians – Wikipedia
Graham McFarland,Australian election,2019-05-06,Politicians – Wikipedia
Barry Sampson,Australian election,2019-05-07,Politicians – Wikipedia
David Abrahams,Australian election,2019-05-08,Politicians – Wikipedia
Susan Moylan-Coombs,Australian election,2019-05-09,Politicians – Wikipedia
Kerryn Phelps,Australian election,2019-05-10,Politicians – Wikipedia
Warren Snowdon,Australian election,2019-05-11,Politicians – Wikipedia
Luke Gosling,Australian election,2019-05-12,Politicians – Wikipedia
Jacinta Price,Australian election,2019-05-13,Politicians – Wikipedia
Kathy Ganley,Australian election,2019-05-14,Politicians – Wikipedia
Shayne Neumann,Australian election,2019-05-15,Politicians – Wikipedia
Jo Briskey,Australian election,2019-05-16,Politicians – Wikipedia
Tom Baster,Australian election,2019-05-17,Politicians – Wikipedia
