keyword,study_group,date_added,source
Paul Newbury,Australian election,2019-05-18,Politicians – Wikipedia
Russell Robertson,Australian election,2019-05-19,Politicians – Wikipedia
Belinda Hassan,Australian election,2019-05-20,Politicians – Wikipedia
Ali France,Australian election,2019-05-21,Politicians – Wikipedia
Luz Stanton,Australian election,2019-05-22,Politicians – Wikipedia
Michelle Dracoulis,Australian election,2019-05-23,Politicians – Wikipedia
Daniel Parsell,Australian election,2019-05-24,Politicians – Wikipedia
Zac Beers,Australian election,2019-05-25,Politicians – Wikipedia
Des Hardman,Australian election,2019-05-26,Politicians – Wikipedia
Terri Butler,Australian election,2019-05-27,Politicians – Wikipedia
Cathy O'Toole,Australian election,2019-05-28,Politicians – Wikipedia
Richard Pascoe,Australian election,2019-05-29,Politicians – Wikipedia
Brett McGuire,Australian election,2019-05-30,Politicians – Wikipedia
Elida Faith,Australian election,2019-05-31,Politicians – Wikipedia
Anika Wells,Australian election,2019-06-01,Politicians – Wikipedia
Susan Lamb,Australian election,2019-06-02,Politicians – Wikipedia
Linda Little,Australian election,2019-06-03,Politicians – Wikipedia
Aaron Santelises,Australian election,2019-06-04,Politicians – Wikipedia
Tracey Bell,Australian election,2019-06-05,Politicians – Wikipedia
Graham Perrett,Australian election,2019-06-06,Politicians – Wikipedia
Milton Dick,Australian election,2019-06-07,Politicians – Wikipedia
Corinne Mulholland,Australian election,2019-06-08,Politicians – Wikipedia
Jim Chalmers,Australian election,2019-06-09,Politicians – Wikipedia
Peter Cossar,Australian election,2019-06-10,Politicians – Wikipedia
Andrew Laming,Australian election,2019-06-11,Politicians – Wikipedia
Peter Dutton,Australian election,2019-06-12,Politicians – Wikipedia
Ken O'Dowd,Australian election,2019-06-13,Politicians – Wikipedia
Olivia Roberts,Australian election,2019-06-14,Politicians – Wikipedia
Phillip Thompson,Australian election,2019-06-15,Politicians – Wikipedia
Frank Beveridge,Australian election,2019-06-16,Politicians – Wikipedia
Warren Entsch,Australian election,2019-06-17,Politicians – Wikipedia
Jim Liu,Australian election,2019-06-18,Politicians – Wikipedia
Terry Young,Australian election,2019-06-19,Politicians – Wikipedia
Julian Simmonds,Australian election,2019-06-20,Politicians – Wikipedia
Michelle Duncan,Australian election,2019-06-21,Politicians – Wikipedia
Barbara Bell,Australian election,2019-06-22,Politicians – Wikipedia
Emerald Moon,Australian election,2019-06-23,Politicians – Wikipedia
Andrew Bartlett,Australian election,2019-06-24,Politicians – Wikipedia
Imogen Lindenberg,Australian election,2019-06-25,Politicians – Wikipedia
Benedict Coyne,Australian election,2019-06-26,Politicians – Wikipedia
Scott Turner,Australian election,2019-06-27,Politicians – Wikipedia
Sue Etheridge,Australian election,2019-06-28,Politicians – Wikipedia
Tracy Burton,Australian election,2019-06-29,Politicians – Wikipedia
Max Chandler-Mather,Australian election,2019-06-30,Politicians – Wikipedia
Simone Dejun,Australian election,2019-07-01,Politicians – Wikipedia
Sally Spain,Australian election,2019-07-02,Politicians – Wikipedia
Patsy O'Brien,Australian election,2019-07-03,Politicians – Wikipedia
James Bovill,Australian election,2019-07-04,Politicians – Wikipedia
Neil Cotter,Australian election,2019-07-05,Politicians – Wikipedia
Jake Schoermer,Australian election,2019-07-06,Politicians – Wikipedia
Daniel Bryar,Australian election,2019-07-07,Politicians – Wikipedia
Shannon Girard,Australian election,2019-07-08,Politicians – Wikipedia
Wade Rothery,Australian election,2019-07-09,Politicians – Wikipedia
Sharon Lohse,Australian election,2019-07-10,Politicians – Wikipedia
Damian Huxham,Australian election,2019-07-11,Politicians – Wikipedia
Rosemary Moulden,Australian election,2019-07-12,Politicians – Wikipedia
Nikhil Aai Reddy,Australian election,2019-07-13,Politicians – Wikipedia
Kamala Emanuel,Australian election,2019-07-14,Politicians – Wikipedia
Brendan Bunyan,Australian election,2019-07-15,Politicians – Wikipedia
Clive Palmer,Australian election,2019-07-16,Politicians – Wikipedia
Bob Katter,Australian election,2019-07-17,Politicians – Wikipedia
Chad Anderson,Australian election,2019-07-18,Politicians – Wikipedia
Mike Crook,Australian election,2019-07-19,Politicians – Wikipedia
John Reece,Australian election,2019-07-20,Politicians – Wikipedia
Anthony Wallis,Australian election,2019-07-21,Politicians – Wikipedia
Tim Jerome,Australian election,2019-07-22,Politicians – Wikipedia
Matthew Tomlinson,Australian election,2019-07-23,Politicians – Wikipedia
Steve Georganas,Australian election,2019-07-24,Politicians – Wikipedia
Nadia Clancy,Australian election,2019-07-25,Politicians – Wikipedia
Mark Butler,Australian election,2019-07-26,Politicians – Wikipedia
Amanda Rishworth,Australian election,2019-07-27,Politicians – Wikipedia
Tony Zappia,Australian election,2019-07-28,Politicians – Wikipedia
Nick Champion,Australian election,2019-07-29,Politicians – Wikipedia
Shaun Osborn,Australian election,2019-07-30,Politicians – Wikipedia
Tony Pasin,Australian election,2019-07-31,Politicians – Wikipedia
Nicolle Flint,Australian election,2019-08-01,Politicians – Wikipedia
Rowan Ramsey,Australian election,2019-08-02,Politicians – Wikipedia
Jake Hall-Evans,Australian election,2019-08-03,Politicians – Wikipedia
Georgina Downer,Australian election,2019-08-04,Politicians – Wikipedia
Christopher Pyne,Australian election,2019-08-05,Politicians – Wikipedia
Barbara Pocock,Australian election,2019-08-06,Politicians – Wikipedia
Rosa Hillam,Australian election,2019-08-07,Politicians – Wikipedia
Stef Rozitis,Australian election,2019-08-08,Politicians – Wikipedia
Matt Farrell,Australian election,2019-08-09,Politicians – Wikipedia
Stephanie Stewart,Australian election,2019-08-10,Politicians – Wikipedia
Anne Bourne,Australian election,2019-08-11,Politicians – Wikipedia
Paul Boundy,Australian election,2019-08-12,Politicians – Wikipedia
Kelly Gladigau,Australian election,2019-08-13,Politicians – Wikipedia
Andrea Broadfoot,Australian election,2019-08-14,Politicians – Wikipedia
Rebekha Sharkie,Australian election,2019-08-15,Politicians – Wikipedia
Ross Hart,Australian election,2019-08-16,Politicians – Wikipedia
Justine Keay,Australian election,2019-08-17,Politicians – Wikipedia
Ben McGregor,Australian election,2019-08-18,Politicians – Wikipedia
Julie Collins,Australian election,2019-08-19,Politicians – Wikipedia
Brian Mitchell,Australian election,2019-08-20,Politicians – Wikipedia
Bridget Archer,Australian election,2019-08-21,Politicians – Wikipedia
Gavin Pearce,Australian election,2019-08-22,Politicians – Wikipedia
Dean Young,Australian election,2019-08-23,Politicians – Wikipedia
Kadira Pethiyagoda,Australian election,2019-08-24,Politicians – Wikipedia
Catherine King,Australian election,2019-08-25,Politicians – Wikipedia
Lisa Chesters,Australian election,2019-08-26,Politicians – Wikipedia
Julian Hill,Australian election,2019-08-27,Politicians – Wikipedia
Maria Vamvakinou,Australian election,2019-08-28,Politicians – Wikipedia
Bill Brindle,Australian election,2019-08-29,Politicians – Wikipedia
Jennifer Yang,Australian election,2019-08-30,Politicians – Wikipedia
Ged Kearney,Australian election,2019-08-31,Politicians – Wikipedia
Libby Coker,Australian election,2019-09-01,Politicians – Wikipedia
Richard Marles,Australian election,2019-09-02,Politicians – Wikipedia
Shireen Morris,Australian election,2019-09-03,Politicians – Wikipedia
Peta Murphy,Australian election,2019-09-04,Politicians – Wikipedia
Daniel Mulino,Australian election,2019-09-05,Politicians – Wikipedia
Tim Watts,Australian election,2019-09-06,Politicians – Wikipedia
Brendan O'Connor,Australian election,2019-09-07,Politicians – Wikipedia
Josh Spiegel,Australian election,2019-09-08,Politicians – Wikipedia
Anthony Byrne,Australian election,2019-09-09,Politicians – Wikipedia
Clare O'Neil,Australian election,2019-09-10,Politicians – Wikipedia
Eric Kerr,Australian election,2019-09-11,Politicians – Wikipedia
Mark Dreyfus,Australian election,2019-09-12,Politicians – Wikipedia
Kate Thwaites,Australian election,2019-09-13,Politicians – Wikipedia
Simon Curtis,Australian election,2019-09-14,Politicians – Wikipedia
Joanne Ryan,Australian election,2019-09-15,Politicians – Wikipedia
Josh Burns,Australian election,2019-09-16,Politicians – Wikipedia
Bill Shorten,Australian election,2019-09-17,Politicians – Wikipedia
Rob Mitchell,Australian election,2019-09-18,Politicians – Wikipedia
Luke Creasey,Australian election,2019-09-19,Politicians – Wikipedia
Stella Yee,Australian election,2019-09-20,Politicians – Wikipedia
Jessica O'Donnell,Australian election,2019-09-21,Politicians – Wikipedia
Bill Lodwick,Australian election,2019-09-22,Politicians – Wikipedia
Andrew Giles,Australian election,2019-09-23,Politicians – Wikipedia
Peter Khalil,Australian election,2019-09-24,Politicians – Wikipedia
Alan Tudge,Australian election,2019-09-25,Politicians – Wikipedia
Tony Smith,Australian election,2019-09-26,Politicians – Wikipedia
Gladys Liu,Australian election,2019-09-27,Politicians – Wikipedia
Sarah Henderson,Australian election,2019-09-28,Politicians – Wikipedia
Michael Sukkar,Australian election,2019-09-29,Politicians – Wikipedia
Chris Crewther,Australian election,2019-09-30,Politicians – Wikipedia
Greg Hunt,Australian election,2019-10-01,Politicians – Wikipedia
Tim Wilson,Australian election,2019-10-02,Politicians – Wikipedia
Steve Martin,Australian election,2019-10-03,Politicians – Wikipedia
Josh Frydenberg,Australian election,2019-10-04,Politicians – Wikipedia
Jason Wood,Australian election,2019-10-05,Politicians – Wikipedia
Kate Ashmor,Australian election,2019-10-06,Politicians – Wikipedia
Anne Webster,Australian election,2019-10-07,Politicians – Wikipedia
Kevin Andrews,Australian election,2019-10-08,Politicians – Wikipedia
Russell Broadbent,Australian election,2019-10-09,Politicians – Wikipedia
Damian Drum,Australian election,2019-10-10,Politicians – Wikipedia
Dan Tehan,Australian election,2019-10-11,Politicians – Wikipedia
David Risstrom,Australian election,2019-10-12,Politicians – Wikipedia
Jason Ball,Australian election,2019-10-13,Politicians – Wikipedia
Steph-Hodgins May,Australian election,2019-10-14,Politicians – Wikipedia
Adam Bandt,Australian election,2019-10-15,Politicians – Wikipedia
William Hornstra,Australian election,2019-10-16,Politicians – Wikipedia
Adam Pulford,Australian election,2019-10-17,Politicians – Wikipedia
Craig Nicholls,Australian election,2019-10-18,Politicians – Wikipedia
Tegan Burns,Australian election,2019-10-19,Politicians – Wikipedia
David Colangelo,Australian election,2019-10-20,Politicians – Wikipedia
Julia Banks,Australian election,2019-10-21,Politicians – Wikipedia
Justin Vida,Australian election,2019-10-22,Politicians – Wikipedia
Weixia Wen,Australian election,2019-10-23,Politicians – Wikipedia
Helen Haines,Australian election,2019-10-24,Politicians – Wikipedia
Oliver Yates,Australian election,2019-10-25,Politicians – Wikipedia
David Williams,Australian election,2019-10-26,Politicians – Wikipedia
Enos Masonga,Australian election,2019-10-27,Politicians – Wikipedia
Mary Patroungas,Australian election,2019-10-28,Politicians – Wikipedia
Madeleine King,Australian election,2019-10-29,Politicians – Wikipedia
Matt Keogh,Australian election,2019-10-30,Politicians – Wikipedia
Mellisa Teede,Australian election,2019-10-31,Politicians – Wikipedia
Anne Aly,Australian election,2019-11-01,Politicians – Wikipedia
Tony Walker,Australian election,2019-11-02,Politicians – Wikipedia
Josh Wilson,Australian election,2019-11-03,Politicians – Wikipedia
James Martin,Australian election,2019-11-04,Politicians – Wikipedia
Tony O'Gorman,Australian election,2019-11-05,Politicians – Wikipedia
Kim Travers,Australian election,2019-11-06,Politicians – Wikipedia
Patrick Gorman,Australian election,2019-11-07,Politicians – Wikipedia
Melita Markey,Australian election,2019-11-08,Politicians – Wikipedia
Hannah Beazley,Australian election,2019-11-09,Politicians – Wikipedia
Marion Boswell,Australian election,2019-11-10,Politicians – Wikipedia
David Goode,Australian election,2019-11-11,Politicians – Wikipedia
Andrew Hastie,Australian election,2019-11-12,Politicians – Wikipedia
Isaac Stewart,Australian election,2019-11-13,Politicians – Wikipedia
Julie Bishop,Australian election,2019-11-14,Politicians – Wikipedia
Melissa Price,Australian election,2019-11-15,Politicians – Wikipedia
Nola Marino,Australian election,2019-11-16,Politicians – Wikipedia
Nicole Robins,Australian election,2019-11-17,Politicians – Wikipedia
Ken Wyatt,Australian election,2019-11-18,Politicians – Wikipedia
Ian Goodenough,Australian election,2019-11-19,Politicians – Wikipedia
Rick Wilson,Australian election,2019-11-20,Politicians – Wikipedia
Christian Porter,Australian election,2019-11-21,Politicians – Wikipedia
Jim Grayden,Australian election,2019-11-22,Politicians – Wikipedia
Steve Irons,Australian election,2019-11-23,Politicians – Wikipedia
Ben Morton,Australian election,2019-11-24,Politicians – Wikipedia
Jody Freeman,Australian election,2019-11-25,Politicians – Wikipedia
Simone Collins,Australian election,2019-11-26,Politicians – Wikipedia
Jodi Moffat,Australian election,2019-11-27,Politicians – Wikipedia
Mark Cooper,Australian election,2019-11-28,Politicians – Wikipedia
Cameron Pidgeon,Australian election,2019-11-29,Politicians – Wikipedia
Johani Mamid,Australian election,2019-11-30,Politicians – Wikipedia
Nerilee Boshammer,Australian election,2019-12-01,Politicians – Wikipedia
Jesse Hutchinson,Australian election,2019-12-02,Politicians – Wikipedia
Lee-Anne Miles,Australian election,2019-12-03,Politicians – Wikipedia
Daniel Vujuch,Australian election,2019-12-04,Politicians – Wikipedia
Nelson Blake Gilmour,Australian election,2019-12-05,Politicians – Wikipedia
Eugene Marshall,Australian election,2019-12-06,Politicians – Wikipedia
Caroline Perks,Australian election,2019-12-07,Politicians – Wikipedia
Judith Cullity,Australian election,2019-12-08,Politicians – Wikipedia
Liberty Cramer,Australian election,2019-12-09,Politicians – Wikipedia
Martin Spencer,Australian election,2019-12-10,Politicians – Wikipedia
Sheila Mundy,Australian election,2019-12-11,Politicians – Wikipedia
James Harfouche,Australian election,2019-12-12,Politicians – Wikipedia
Tyler Walsh,Australian election,2019-12-13,Politicians – Wikipedia
John Hassell,Australian election,2019-12-14,Politicians – Wikipedia
Sandy Old,Australian election,2019-12-15,Politicians – Wikipedia
Gabriel Harfouche,Australian election,2019-12-16,Politicians – Wikipedia
Penny Kyburz ,Australian election,2019-12-17,Politicians – Wikipedia
Mehreen Faruqi,Australian election,2019-12-18,Politicians – Wikipedia
Sophie York ,Australian election,2019-12-19,Politicians – Wikipedia
Andrew Potts ,Australian election,2019-12-20,Politicians – Wikipedia
Jewell Drury,Australian election,2019-12-21,Politicians – Wikipedia
Steven Georgantis,Australian election,2019-12-22,Politicians – Wikipedia
Joshua Burgoyne,Australian election,2019-12-23,Politicians – Wikipedia
Larissa Waters,Australian election,2019-12-24,Politicians – Wikipedia
Lyle Shelton ,Australian election,2019-12-25,Politicians – Wikipedia
Malcolm Roberts,Australian election,2019-12-26,Politicians – Wikipedia
Darren Caulfield ,Australian election,2019-12-27,Politicians – Wikipedia
Roslyn Day,Australian election,2019-12-28,Politicians – Wikipedia
Alex Gallacher ,Australian election,2019-12-29,Politicians – Wikipedia
Anne Ruston ,Australian election,2019-12-30,Politicians – Wikipedia
Sarah Hanson-Young ,Australian election,2019-12-31,Politicians – Wikipedia
Skye Kakoschke-Moore,Australian election,2020-01-01,Politicians – Wikipedia
Rikki Lambert,Australian election,2020-01-02,Politicians – Wikipedia
Tim Storer,Australian election,2020-01-03,Politicians – Wikipedia
Nick McKim,Australian election,2020-01-04,Politicians – Wikipedia
Jacqui Lambie ,Australian election,2020-01-05,Politicians – Wikipedia
James Paterson ,Australian election,2020-01-06,Politicians – Wikipedia
Janet Rice,Australian election,2020-01-07,Politicians – Wikipedia
Kevin Bailey,Australian election,2020-01-08,Politicians – Wikipedia
Yuting Gu,Australian election,2020-01-09,Politicians – Wikipedia
Pat Dodson ,Australian election,2020-01-10,Politicians – Wikipedia
Linda Reynolds ,Australian election,2020-01-11,Politicians – Wikipedia
Jordon Steele-John,Australian election,2020-01-12,Politicians – Wikipedia
Peter Georgiou,Australian election,2020-01-13,Politicians – Wikipedia
Nick Fardell,Australian election,2020-01-14,Politicians – Wikipedia
Jonathan Crabtree ,Australian election,2020-01-15,Politicians – Wikipedia
Rachel Minniti,Australian election,2020-01-16,Politicians – Wikipedia
David Fawcett ,Australian election,2020-01-17,Politicians – Wikipedia
Anthony Ziebelli,Australian election,2020-01-18,Politicians – Wikipedia
Riccardo Bosi ,Australian election,2020-01-19,Politicians – Wikipedia
Kirralie Smith,Australian election,2020-01-20,Politicians – Wikipedia
Navdeep Singh,Australian election,2020-01-21,Politicians – Wikipedia
Johanna Kloot,Australian election,2020-01-22,Politicians – Wikipedia
Steve Dickson,Australian election,2020-01-23,Politicians – Wikipedia
Joanna Lindgren,Australian election,2020-01-24,Politicians – Wikipedia
Adam Finch,Australian election,2020-01-25,Politicians – Wikipedia
Marielle Smith ,Australian election,2020-01-26,Politicians – Wikipedia
Emily Gore,Australian election,2020-01-27,Politicians – Wikipedia
Alex Antic ,Australian election,2020-01-28,Politicians – Wikipedia
Lucy Gichuhi,Australian election,2020-01-29,Politicians – Wikipedia
Major Sumner,Australian election,2020-01-30,Politicians – Wikipedia
Glynn Williams ,Australian election,2020-01-31,Politicians – Wikipedia
Chris Reynolds,Australian election,2020-02-01,Politicians – Wikipedia
Jane Hume,Australian election,2020-02-02,Politicians – Wikipedia
Louise Pratt,Australian election,2020-02-03,Politicians – Wikipedia
Slade Brockman ,Australian election,2020-02-04,Politicians – Wikipedia
Matt O'Sullivan ,Australian election,2020-02-05,Politicians – Wikipedia
Trischa Botha,Australian election,2020-02-06,Politicians – Wikipedia
Peter Castieau,Australian election,2020-02-07,Politicians – Wikipedia
Emma Davidson,Australian election,2020-02-08,Politicians – Wikipedia
